Glass Transition Temperature (°C),Reduction Potential (V)
0,8.42355272798724,
5,8.125849564821449,
10,7.871496471099069,
13,7.750906554878562,
2.9839035087643073,1.1046017975352902,
4.18207658629937,0.96618259645037,
13.531258016627328,0.734677615135892,
18.283971086120193,0.719724481800652,
4.43255116102214,-1.3417353140264208,
11.384436659982306,-0.2180433540850255,
11.508460195378127,6.480511631355368,
14.085890150832878,1.5024107331608771,
0,4.8734738214370354,
2,5.164321502425711,
3,5.434425988017759,
14,3.4732508303403478,
