Ultrasound Time (min),Compression Strength (MPa)
5.885284115976543,7.053783193857915,0.39% TPP/Poly(vinylidene fluoride)
15.213656582233446,13.383637000520949,0.39% TPP/Poly(vinylidene fluoride)
18.33525807237274,4.210392230903809,0.39% TPP/Poly(vinylidene fluoride)
5.885284115976543,-6.422423261356083,0.5% TPP/Poly(vinylidene fluoride)
15.213656582233446,-6.590364500772621,0.5% TPP/Poly(vinylidene fluoride)
18.33525807237274,-6.596688887388082,0.5% TPP/Poly(vinylidene fluoride)
5.885284115976543,2.4912370415692733,0.36% TPP/Poly(vinylidene fluoride)
15.213656582233446,178.3775734914101,0.36% TPP/Poly(vinylidene fluoride)
18.33525807237274,609.5833031284591,0.36% TPP/Poly(vinylidene fluoride)
5.885284115976543,-5.580833252521868,0.96% TPP/Poly(vinylidene fluoride)
15.213656582233446,-5.743619762311583,0.96% TPP/Poly(vinylidene fluoride)
18.33525807237274,-5.748848728715718,0.96% TPP/Poly(vinylidene fluoride)
