Thermal Conductivity (W/(m·K)),Electrical Resistivity (Ω·m)
2,4.764815843029343,0.98% Paraffinum liquidum
5,4.402807289490914,0.98% Paraffinum liquidum
18,4.205500747917153,0.98% Paraffinum liquidum
5,-3.2133598239131045,0.41% Paraffinum liquidum
15,-3.421125215947218,0.41% Paraffinum liquidum
17,-3.425903635406118,0.41% Paraffinum liquidum
4.36415420124005,3.8093218390264383,0.52% Paraffinum liquidum
8.625454604547343,3.5885140976729173,0.52% Paraffinum liquidum
11.144309684043893,3.5456756758655406,0.52% Paraffinum liquidum
1.6644300571136883,-4.990160116230883,0.12% Paraffinum liquidum
10.3332179705498,4.146466146482261,0.12% Paraffinum liquidum
10.511123550429822,29.89971715214191,0.12% Paraffinum liquidum
3.529476478759277,-1.5741906114576247,0.06% Paraffinum liquidum
6.196639723437509,-1.7961944786700492,0.06% Paraffinum liquidum
11.543026362272675,-1.959807721025722,0.06% Paraffinum liquidum
