Reaction Time (h),Corrosion Rate (mm/year)
3,-3.087591928377769,Poly(benzoxazine)
7,-0.6635195166956889,Poly(benzoxazine)
11,-2.1114216155935632,Poly(benzoxazine)
15,7.575612219024178,Poly(benzoxazine)
18,4.698789001252498,Poly(benzoxazine)
12.85587084695004,-0.9149419370089853,Poly(butylene terephthalate)
13.728596719553,-5.033456443424519,Poly(butylene terephthalate)
15.334072093431132,-5.7716968660475745,Poly(butylene terephthalate)
17.838787096403593,-0.1655226217030119,Poly(butylene terephthalate)
18.846538031428604,7.364644054820511,Poly(butylene terephthalate)
3.29175545100713,7.342457461729294,BR
6.861797417025066,7.13211705047995,BR
9.477757772983397,7.05999596272405,BR
15.804048209783485,7.009462028698797,BR
18.60720040636677,7.004242649646097,BR
0,-1.3607198262092144,PTFE
2,-2.124267256360249,PTFE
10,-2.602724273862159,PTFE
12,-2.6216435706412318,PTFE
19,-2.6471354641432825,PTFE
1,0.657723839090024,Poly(ethylene glycol)
10,27.02362720509928,Poly(ethylene glycol)
11,27.10181870128885,Poly(ethylene glycol)
13,36.58274880822905,Poly(ethylene glycol)
14,140.4882733587783,Poly(ethylene glycol)
