Electric Field (V/m),Flexural Strength (MPa)
0,-0.23621546524783055,0.53% SWNTs
1,-0.8030753383048863,0.53% SWNTs
6,1.7349101189519969,0.53% SWNTs
7,-1.5597691606368551,0.53% SWNTs
8,1.2381124955920768,0.53% SWNTs
0,-6.602888667310085,0.19% SWNTs
1,-6.351469068456684,0.19% SWNTs
6,-3.8417267369053545,0.19% SWNTs
7,2.888365628859665,0.19% SWNTs
8,-0.7641596259881158,0.19% SWNTs
0,1.652947864867644,0.46% SWNTs
1,1.5673656920315695,0.46% SWNTs
6,1.2962046768140771,0.46% SWNTs
7,1.133133217300601,0.46% SWNTs
8,1.0452613192886397,0.46% SWNTs
0,-3.59411068166517,0.07% SWNTs
1,-3.5331702186266583,0.07% SWNTs
6,-3.133060884123897,0.07% SWNTs
7,-3.055159615362861,0.07% SWNTs
8,-3.2513356749369695,0.07% SWNTs
0,-5.220923046947032,0.54% SWNTs
1,-5.090081702754139,0.54% SWNTs
6,0.5051445581925247,0.54% SWNTs
7,0.7325457770806221,0.54% SWNTs
8,-0.058727819876190246,0.54% SWNTs
