Melting Temperature (°C),Thermal Diffusivity (mm²/s)
2,-5.340699649946685,
3,-5.707195362785074,
12,-6.152782092209356,
13,-6.2486578981289025,
15,-6.271396805543323,
17,-6.3102322125136405,
2,3.215495501581384,
3,2.943088804812115,
12,2.59200816973732,
13,2.585760726425186,
15,2.5769863382808644,
17,2.5723114379676444,
2,-5.091796362620364,
3,-5.036559318076814,
12,-5.497039237384912,
13,-5.492418922298335,
15,-5.564611706912268,
17,-5.6004750579174924,
2,4.889300402601257,
3,4.852098555438236,
12,4.471508835053285,
13,4.466890907270118,
15,4.457680113925331,
17,4.452276660617266,
