Light Intensity (W/m²),Viscosity (Pa·s)
3,8.530884432588895,0.94% TPP/PBS
9,9.51456437559022,0.94% TPP/PBS
19,8.918309803156502,0.94% TPP/PBS
3,-2.4354523776877492,0.14% TPP/PBS
9,17.76040704778937,0.14% TPP/PBS
19,771.4873080970432,0.14% TPP/PBS
3,5.546604730113229,0.96% TPP/PBS
9,20.78407501678992,0.96% TPP/PBS
19,517.1395442330378,0.96% TPP/PBS
3,-6.967431369850945,0.56% TPP/PBS
9,-7.2693363316861,0.56% TPP/PBS
19,-7.5045573245636685,0.56% TPP/PBS
3,-6.045477730003409,0.76% TPP/PBS
9,-6.274285254785344,0.76% TPP/PBS
19,-6.591838925736541,0.76% TPP/PBS
