Tensile Strength (MPa),Zero-shear Viscosity (Pa·s)
6.339262088498929,7.0371261756706325,0.12% OMLS/PMS
6.809760780990953,5.832504093141698,0.12% OMLS/PMS
12.421953104794119,12.371894276970192,0.12% OMLS/PMS
13.226251668548848,-22.70354322137289,0.01% OMLS/PMS
15.58971399146603,15.30413852109463,0.01% OMLS/PMS
18.372024316779513,333.47055779678476,0.01% OMLS/PMS
9.851875256557577,6.401123836243016,0.77% OMLS/PMS
14.412867460982902,186.2942939586436,0.77% OMLS/PMS
16.368027426357624,271.7615230882279,0.77% OMLS/PMS
8.299124014500725,8.033880445803566,0.53% OMLS/PMS
9.110075610457713,8.01218922623679,0.53% OMLS/PMS
12.131483476809649,7.979447165402782,0.53% OMLS/PMS
2,-5.276522177735508,0.46% OMLS/PMS
8,-5.818748218739993,0.46% OMLS/PMS
18,-5.891641536371989,0.46% OMLS/PMS
