Evaporation Temperature (°C),Bulk Modulus (GPa)
8.853972904898795,-5.965680532267846,0.12% silicon dioxide/PPSU
10.024121714104732,-6.019262194706662,0.12% silicon dioxide/PPSU
10.667053229393355,-6.024900936906816,0.12% silicon dioxide/PPSU
16.59168008038551,-6.204997191114166,0.12% silicon dioxide/PPSU
8.853972904898795,5.802890023060332,0.51% silicon dioxide/PPSU
10.024121714104732,5.7685755371975915,0.51% silicon dioxide/PPSU
10.667053229393355,5.774141517297043,0.51% silicon dioxide/PPSU
16.59168008038551,5.594848276940057,0.51% silicon dioxide/PPSU
8.853972904898795,4.928835134910781,0.29% silicon dioxide/PPSU
10.024121714104732,4.9918213797211175,0.29% silicon dioxide/PPSU
10.667053229393355,4.9116032113915224,0.29% silicon dioxide/PPSU
16.59168008038551,4.7522925571477375,0.29% silicon dioxide/PPSU
8.853972904898795,-4.819347005559946,0.49% silicon dioxide/PPSU
10.024121714104732,-4.840160055487701,0.49% silicon dioxide/PPSU
10.667053229393355,-4.843758147562749,0.49% silicon dioxide/PPSU
16.59168008038551,-4.881458687034807,0.49% silicon dioxide/PPSU
