Frequency (Hz),Heat Of Fusion (J/g)
5.642233094304014,3.75714825243471,Unsaturated polyester resin
9.283460272503758,3.4093078453963965,Unsaturated polyester resin
9.824749369004644,6.0443631636908,Unsaturated polyester resin
12.94197882859089,3.89382830941809,Unsaturated polyester resin
14.75182667185387,6.55794818494205,Unsaturated polyester resin
15.963476361370784,1.84607523846753,Unsaturated polyester resin
5.642233094304014,-3.825808218751684,PCL
9.283460272503758,-0.015206683032991997,PCL
9.824749369004644,-3.4861330118755713,PCL
12.94197882859089,0.16154132366960816,PCL
14.75182667185387,-2.9914834184878627,PCL
15.963476361370784,0.7024108771245192,PCL
5.642233094304014,2.7924192947887967,BXZ
9.283460272503758,19.378594214622414,BXZ
9.824749369004644,25.340629375494736,BXZ
12.94197882859089,7.0746300908914606,BXZ
14.75182667185387,13.565381046953561,BXZ
15.963476361370784,221.38638183975894,BXZ
5.642233094304014,7.708330068784722,PVB
9.283460272503758,8.66589246142409,PVB
9.824749369004644,6.669955463547985,PVB
12.94197882859089,13.223417849707056,PVB
14.75182667185387,10.543991765053448,PVB
15.963476361370784,5.8793565248477595,PVB
