Evaporation Temperature (°C),Pore Volume (cm³/g)
7.158133945413072,0.11422696025773031,PVA
9.713838074670837,0.056717455905879184,PVA
14.318108745967379,0.01410373089306071,PVA
15.988002419004793,0.009796593075237068,PVA
5.007096607122836,-1.5607191196325179,PPSF
7.001435322069279,5.0395074160349065,PPSF
7.916931246251928,7.501982266222177,PPSF
18.810952243216914,288.89482376199675,PPSF
4.262143937758818,-3.1180037710134947,Poly(propylene)
9.222931888185204,-3.3731872531453093,Poly(propylene)
11.539615012028843,-3.3973146675480352,Poly(propylene)
17.501202244279067,-3.423041871901013,Poly(propylene)
4,7.095753802392636,PA 11
6,9.405275523133103,PA 11
11,39.28721311648172,PA 11
19,-406.4683739854573,PA 11
3.7756655172421882,-4.008798412710588,PVA
13.913021181760904,-0.9053869422715799,PVA
16.072599488176625,-1.9883019161869626,PVA
17.920379113302715,7.3405603827092385,PVA
