Aging Temperature (°C),Decomposition Temperature (°C)
1.1735405848773528,-2.9412302693212733,0.6% SWNTs
5.422477841853799,-3.501096960886616,0.6% SWNTs
12.105843503444538,-3.676910386224043,0.6% SWNTs
14.179994294607805,-3.687310949987835,0.6% SWNTs
15.746995316478287,-3.6930296965215796,0.6% SWNTs
19.695878269227443,-3.6991865761749665,0.6% SWNTs
0.3142507459595212,-4.564880016528796,0.6% SWNTs
2.3060267069264473,-4.192313885639965,0.6% SWNTs
3.663074796338468,-2.610122687262612,0.6% SWNTs
5.9316074901516895,-0.09695345703012492,0.6% SWNTs
11.451325890814598,11.433938019159578,0.6% SWNTs
12.215060052035724,25.063924861676263,0.6% SWNTs
