Incubation Time (h),Bulk Modulus (GPa)
2,-5.018634812567187,0.54% Triphenyl phosphate
3,-5.196093735058593,0.54% Triphenyl phosphate
9,-5.529637603518172,0.54% Triphenyl phosphate
12,-5.693357216358964,0.54% Triphenyl phosphate
13,-5.711278715635221,0.54% Triphenyl phosphate
19,-5.819457836258798,0.54% Triphenyl phosphate
2,-2.933718278585286,0.88% Triphenyl phosphate
3,-2.0019467276684106,0.88% Triphenyl phosphate
9,21.107153275058355,0.88% Triphenyl phosphate
12,36.294688542040376,0.88% Triphenyl phosphate
13,-12.691717142195866,0.88% Triphenyl phosphate
19,321.79910219445014,0.88% Triphenyl phosphate
2,5.42503732096246,0.54% Triphenyl phosphate
3,5.64842481316533,0.54% Triphenyl phosphate
9,5.325876104526009,0.54% Triphenyl phosphate
12,5.230014849330844,0.54% Triphenyl phosphate
13,5.208953673446834,0.54% Triphenyl phosphate
19,5.09113959882694,0.54% Triphenyl phosphate
