Pore Size (nm),Surface Area (m²/g)
0,3.062544456759347,Poly(styrene-co-acrylonitrile)
3,3.54331694255733,Poly(styrene-co-acrylonitrile)
6,3.0174117663534776,Poly(styrene-co-acrylonitrile)
7,4.647618693082652,Poly(styrene-co-acrylonitrile)
14,2.6360727791099863,Poly(styrene-co-acrylonitrile)
0,4.121003987538471,PEKK
3,5.5637234183985536,PEKK
6,9.186408963282606,PEKK
7,14.203237132137806,PEKK
14,109.11707041531565,PEKK
0,0.964860815921737,PS-I
3,0.6983742324119856,PS-I
6,0.673364432330979,PS-I
7,0.5955975634987679,PS-I
14,0.36797240501083134,PS-I
