Evaporation Temperature (°C),Peel Strength (N/m)
6,-1.996871010672419,0.07% 9-Anthracenemethanol/PA63T
16,355.91782131723477,0.07% 9-Anthracenemethanol/PA63T
19,-60.51940051551079,0.07% 9-Anthracenemethanol/PA63T
6,0.7199853251638664,0.98% 9-Anthracenemethanol/PA63T
16,0.5817604703382494,0.98% 9-Anthracenemethanol/PA63T
19,0.576849389764039,0.98% 9-Anthracenemethanol/PA63T
6,3.820615582650236,0.11% 9-Anthracenemethanol/PA63T
16,3.665235859809873,0.11% 9-Anthracenemethanol/PA63T
19,3.6599693583279853,0.11% 9-Anthracenemethanol/PA63T
6,-0.23072838733141232,0.67% 9-Anthracenemethanol/PA63T
16,81.7321522051984,0.67% 9-Anthracenemethanol/PA63T
19,233.02521916107372,0.67% 9-Anthracenemethanol/PA63T
6,1.656419923520465,0.33% 9-Anthracenemethanol/PA63T
16,-40.322285074428414,0.33% 9-Anthracenemethanol/PA63T
19,268.108567074478,0.33% 9-Anthracenemethanol/PA63T
