vol%,Galvanic Potential (V)
0,2.5976358276057425,Poly(ethylene glycol)
1,2.2467698677900394,Poly(ethylene glycol)
3,2.0653158936808094,Poly(ethylene glycol)
10,1.7200591916869692,Poly(ethylene glycol)
0,-6.481153853379146,PDMS
1,-6.9330691671456925,PDMS
3,-7.0349549034469545,PDMS
10,-7.354752383891944,PDMS
0,3.2463707428326516,PETP
1,3.6295164002027374,PETP
3,4.013791302398971,PETP
10,4.576828946545983,PETP
0,-0.2475969438637774,UPR
1,-0.1833057702634141,UPR
3,-0.6008754835567787,UPR
10,-1.0140097175738116,UPR
0,3.1704284318978324,PC
1,3.3108439138679575,PC
3,2.840151966060973,PC
10,2.3470729863891737,PC
