Frequency (Hz),Hardness (HV)
5,9.755867845076336,
6,6.593186350618887,
10,37.683236213829424,
14,106.10187745679166,
17,364.08996054752436,
19,504.54932957838616,
5,-2.0166348725305223,
6,-1.4653066698602135,
10,-0.8687396690646283,
14,-3.247897904957026,
17,-3.179697671614396,
19,8.753718684801541,
5,7.811861167717466,
6,8.071525846461382,
10,11.242753176902282,
14,6.334829364077631,
17,22.623611972435054,
19,9.825061334804008,
5,7.060564719345676,
6,6.441775316326936,
10,10.559452243908162,
14,3.2932044488827668,
17,2.630352159672899,
19,7.793326710087477,
5,4.13456553706469,
6,9.336378036431276,
10,9.904342526627639,
14,-60.56905244024172,
17,182.1434918348529,
19,-243.03349973705303,
