Curing Temperature (°C),Pore Volume (cm³/g)
1.751865283626195,0.4271783549322288,"Iron (II,III) Oxide/Nylon 8"
8.172574797007286,0.3884497576878932,"Iron (II,III) Oxide/Nylon 8"
13.787208096703804,0.16172583618840114,"Iron (II,III) Oxide/Nylon 8"
18.240209367213197,0.08929865972251078,"Iron (II,III) Oxide/Nylon 8"
1.751865283626195,-2.843019645509223,Poly(vinyl alcohol)/Nylon 8
8.172574797007286,-3.220362803234493,Poly(vinyl alcohol)/Nylon 8
13.787208096703804,-3.3010662805825146,Poly(vinyl alcohol)/Nylon 8
18.240209367213197,-3.313353250822545,Poly(vinyl alcohol)/Nylon 8
1.751865283626195,-5.353477627043958,Alumina/Nylon 8
8.172574797007286,-6.859865029511541,Alumina/Nylon 8
13.787208096703804,26.274499264332704,Alumina/Nylon 8
18.240209367213197,319.7838180615469,Alumina/Nylon 8
1.751865283626195,-3.8877502698271003,montmorillonite/Nylon 8
8.172574797007286,-4.396616677005155,montmorillonite/Nylon 8
13.787208096703804,-4.471541812189074,montmorillonite/Nylon 8
18.240209367213197,-4.482951305014643,montmorillonite/Nylon 8
