Thickness (µm),Coefficient Of Thermal Expansion (1/K)
3.1313711875619243,10.60226360144248,BPA-Ph
5.437152012356014,13.061390734044842,BPA-Ph
5.950353742059056,14.539445192527301,BPA-Ph
8.041394856781597,27.790672240232773,BPA-Ph
5.545508668253493,5.513559647789802,PAMS
5.5958816819959845,6.13927365877605,PAMS
8.712306785113356,17.65354702456368,PAMS
12.502595311936364,59.091485842096645,PAMS
2,-4.802437963569057,P4VP
9,16.37703570288098,P4VP
15,90.67680695758763,P4VP
16,25.838250131235,P4VP
