Dielectric Constant,Particle Size Distribution
0.04444853156466699,4.027478510395363,0.17% silicon dioxide/DGEBF Epoxy Resin
5.788800275362272,3.3960635945642674,0.17% silicon dioxide/DGEBF Epoxy Resin
6.123989494874924,3.394087292194218,0.17% silicon dioxide/DGEBF Epoxy Resin
7.636988971294764,3.33395324284358,0.17% silicon dioxide/DGEBF Epoxy Resin
12.035955949637039,3.257641432367654,0.17% silicon dioxide/DGEBF Epoxy Resin
12.397648388924443,3.25395927859783,0.17% silicon dioxide/DGEBF Epoxy Resin
0.04444853156466699,2.1918044653734468,0.49% silicon dioxide/DGEBF Epoxy Resin
5.788800275362272,1.445044056386731,0.49% silicon dioxide/DGEBF Epoxy Resin
6.123989494874924,1.4368295407586524,0.49% silicon dioxide/DGEBF Epoxy Resin
7.636988971294764,1.3770587408730293,0.49% silicon dioxide/DGEBF Epoxy Resin
12.035955949637039,1.3116065192260438,0.49% silicon dioxide/DGEBF Epoxy Resin
12.397648388924443,1.304413972240898,0.49% silicon dioxide/DGEBF Epoxy Resin
0.04444853156466699,0.2775539080149435,0.91% silicon dioxide/DGEBF Epoxy Resin
5.788800275362272,8.77729612150795,0.91% silicon dioxide/DGEBF Epoxy Resin
6.123989494874924,4.791717212965224,0.91% silicon dioxide/DGEBF Epoxy Resin
7.636988971294764,10.70840257130923,0.91% silicon dioxide/DGEBF Epoxy Resin
12.035955949637039,70.77939994961199,0.91% silicon dioxide/DGEBF Epoxy Resin
12.397648388924443,83.2515705428311,0.91% silicon dioxide/DGEBF Epoxy Resin
0.04444853156466699,0.09185705232998165,0.78% silicon dioxide/DGEBF Epoxy Resin
5.788800275362272,-0.7250286517395866,0.78% silicon dioxide/DGEBF Epoxy Resin
6.123989494874924,-0.7327247462991293,0.78% silicon dioxide/DGEBF Epoxy Resin
7.636988971294764,-0.7753220172145969,0.78% silicon dioxide/DGEBF Epoxy Resin
12.035955949637039,-0.8764820995859711,0.78% silicon dioxide/DGEBF Epoxy Resin
12.397648388924443,-0.878043347938991,0.78% silicon dioxide/DGEBF Epoxy Resin
