Coefficient Of Thermal Expansion (1/K),Elongation At Break (%)
3.6810975115459033,2.4508758507930164,Molybdenum disulfide/Poly(vinyl chloride)
5.049274454296646,2.248585278966041,Molybdenum disulfide/Poly(vinyl chloride)
11.210047213341168,1.9405704748499037,Molybdenum disulfide/Poly(vinyl chloride)
12.791351998811946,1.9175647205133997,Molybdenum disulfide/Poly(vinyl chloride)
18.167363862253893,1.769533078800057,Molybdenum disulfide/Poly(vinyl chloride)
3.6810975115459033,2.141996442297592,Lead(II) sulfide/Poly(vinyl chloride)
5.049274454296646,2.113061494839178,Lead(II) sulfide/Poly(vinyl chloride)
11.210047213341168,1.89279306305654,Lead(II) sulfide/Poly(vinyl chloride)
12.791351998811946,1.8807600524489694,Lead(II) sulfide/Poly(vinyl chloride)
18.167363862253893,1.863444542478463,Lead(II) sulfide/Poly(vinyl chloride)
3.6810975115459033,2.070224630877836,CaCu3Ti4O12/Poly(vinyl chloride)
5.049274454296646,3.2029161256301295,CaCu3Ti4O12/Poly(vinyl chloride)
11.210047213341168,60.57681706119678,CaCu3Ti4O12/Poly(vinyl chloride)
12.791351998811946,39.52656629585525,CaCu3Ti4O12/Poly(vinyl chloride)
18.167363862253893,152.802077396046,CaCu3Ti4O12/Poly(vinyl chloride)
