Electron Beam Dose (Gy),Loss Modulus (Pa)
7.56046503984715,-0.45725261822808067,0.82% carbon black
9.919946395103844,-0.549172826317057,0.82% carbon black
11.172208389888867,-0.6164434683799085,0.82% carbon black
16.064422197598674,-0.7354909612549329,0.82% carbon black
3,-0.18673866222835755,0.2% carbon black
4,-0.5092865312960262,0.2% carbon black
10,1.1334019007939302,0.2% carbon black
13,0.0522530351672017,0.2% carbon black
0,3.0283116560155783,0.22% carbon black
2,3.929757411844455,0.22% carbon black
11,31.962327669434654,0.22% carbon black
17,585.1952041372169,0.22% carbon black
