Specific Heat Capacity (J/(g·K)),Toughness (MJ/m³)
4.551326439844128,2.936901905842231,0.56% Aluminium/PETE
5.6189833595398975,2.9287083149445348,0.56% Aluminium/PETE
9.685369843788694,2.7981585424096878,0.56% Aluminium/PETE
12.366070853269868,2.690109194186012,0.56% Aluminium/PETE
14.969198929748671,2.6310585217469593,0.56% Aluminium/PETE
4.551326439844128,-3.2124416559617632,0.01% Aluminium/PETE
5.6189833595398975,-3.15129840533235,0.01% Aluminium/PETE
9.685369843788694,-3.3294589924621203,0.01% Aluminium/PETE
12.366070853269868,-3.3923179850154614,0.01% Aluminium/PETE
14.969198929748671,-3.4841722413499254,0.01% Aluminium/PETE
4.551326439844128,0.4542863711586759,0.63% Aluminium/PETE
5.6189833595398975,0.3358885050248388,0.63% Aluminium/PETE
9.685369843788694,0.1018748389268277,0.63% Aluminium/PETE
12.366070853269868,-0.005275628971351476,0.63% Aluminium/PETE
14.969198929748671,-0.07593897290212712,0.63% Aluminium/PETE
4.551326439844128,2.324550144101104,0.95% Aluminium/PETE
5.6189833595398975,2.2206233748233744,0.95% Aluminium/PETE
9.685369843788694,2.1112108867781663,0.95% Aluminium/PETE
12.366070853269868,2.0717659034065226,0.95% Aluminium/PETE
14.969198929748671,2.0569621437908037,0.95% Aluminium/PETE
4.551326439844128,4.232384754208732,0.53% Aluminium/PETE
5.6189833595398975,4.163396074589971,0.53% Aluminium/PETE
9.685369843788694,4.026505095300899,0.53% Aluminium/PETE
12.366070853269868,3.9987135687540025,0.53% Aluminium/PETE
14.969198929748671,3.987080582785445,0.53% Aluminium/PETE
