Thermal Conductivity (W/(m·K)),Magnetoresistance
0.4781070058751635,6.4904420941547265,0.69% CuPP
0.4842599958714655,6.596024528034839,0.69% CuPP
1.2272594573582074,6.288769075947277,0.69% CuPP
18.989431482510007,5.535631909580007,0.69% CuPP
0.4781070058751635,-4.789827158043229,0.31% CuPP
0.4842599958714655,-4.803243748373871,0.31% CuPP
1.2272594573582074,-5.0979934310691375,0.31% CuPP
18.989431482510007,-5.879204543309184,0.31% CuPP
0.4781070058751635,-3.985479274062717,0.64% CuPP
0.4842599958714655,-4.1102584744752075,0.64% CuPP
1.2272594573582074,-4.068226262081512,0.64% CuPP
18.989431482510007,-4.880669671118965,0.64% CuPP
