Synthesis Time (min),Fracture Toughness (MPa·m^0.5)
0,-0.7806346106119495,0.7% carbon nanofibers/P4VP
1,-0.8636178808763408,0.7% carbon nanofibers/P4VP
3,-1.0686196528778897,0.7% carbon nanofibers/P4VP
5,-1.282306912253737,0.7% carbon nanofibers/P4VP
15,-1.4754460409984091,0.7% carbon nanofibers/P4VP
18,-1.4820526909502165,0.7% carbon nanofibers/P4VP
0,-2.076084548859105,0.76% carbon nanofibers/P4VP
1,-2.3082766998283586,0.76% carbon nanofibers/P4VP
3,-2.607746491986354,0.76% carbon nanofibers/P4VP
5,-2.7842399598806757,0.76% carbon nanofibers/P4VP
15,-3.0012126703473623,0.76% carbon nanofibers/P4VP
18,-3.0081528531830455,0.76% carbon nanofibers/P4VP
0,1.9964486840233362,0.77% carbon nanofibers/P4VP
1,2.6453910909200697,0.77% carbon nanofibers/P4VP
3,4.538361495811092,0.77% carbon nanofibers/P4VP
5,3.448328408719761,0.77% carbon nanofibers/P4VP
15,141.4381786940184,0.77% carbon nanofibers/P4VP
18,475.70518091855183,0.77% carbon nanofibers/P4VP
0,7.182436509277632,0.92% carbon nanofibers/P4VP
1,7.489447030755881,0.92% carbon nanofibers/P4VP
3,8.666106039186618,0.92% carbon nanofibers/P4VP
5,8.88802965323196,0.92% carbon nanofibers/P4VP
15,49.45783662969274,0.92% carbon nanofibers/P4VP
18,415.1326089812946,0.92% carbon nanofibers/P4VP
0,0.583497020290199,0.33% carbon nanofibers/P4VP
1,0.8901075492864474,0.33% carbon nanofibers/P4VP
3,1.029750852033228,0.33% carbon nanofibers/P4VP
5,0.8605055504772936,0.33% carbon nanofibers/P4VP
15,0.4455213613317883,0.33% carbon nanofibers/P4VP
18,15.514524744652666,0.33% carbon nanofibers/P4VP
