Mixing Time (min),Bulk Modulus (GPa)
5.367849120910271,-4.942684531110526,AuNPs/PPSF
6.623270260268319,-4.9902585793121,AuNPs/PPSF
9.939232518744713,-5.084017755155745,AuNPs/PPSF
11.273330783049765,-5.105303455463512,AuNPs/PPSF
14.15347712075082,-5.12260782093012,AuNPs/PPSF
5.367849120910271,6.056941492224311,Sodium titanate nanotubes/PPSF
6.623270260268319,5.274003426134156,Sodium titanate nanotubes/PPSF
9.939232518744713,6.151339210598202,Sodium titanate nanotubes/PPSF
11.273330783049765,11.31627318676233,Sodium titanate nanotubes/PPSF
14.15347712075082,12.483933959225876,Sodium titanate nanotubes/PPSF
5.367849120910271,1.7723727733281258,Carbon nanofibers/PPSF
6.623270260268319,1.5366988245862627,Carbon nanofibers/PPSF
9.939232518744713,9.537504839580354,Carbon nanofibers/PPSF
11.273330783049765,20.599159856705725,Carbon nanofibers/PPSF
14.15347712075082,41.17227812954448,Carbon nanofibers/PPSF
5.367849120910271,-3.563104391356931,SiO2/PPSF
6.623270260268319,-4.144755347153115,SiO2/PPSF
9.939232518744713,-3.1571321638813243,SiO2/PPSF
11.273330783049765,-2.4355800924134963,SiO2/PPSF
14.15347712075082,-7.774236722986623,SiO2/PPSF
5.367849120910271,7.041595081230519,Graphene oxide/PPSF
6.623270260268319,8.942158980296947,Graphene oxide/PPSF
9.939232518744713,25.898296243988117,Graphene oxide/PPSF
11.273330783049765,8.09306670517682,Graphene oxide/PPSF
14.15347712075082,141.0185133889237,Graphene oxide/PPSF
