Synthesis Time (min),Electronic Conductivity (S/m)
2.830192291786666,5.699432956432908,0.77% expandable graphite/PEO
7.3980544374664365,5.2210552514440085,0.77% expandable graphite/PEO
10.749698633086666,5.096764926505466,0.77% expandable graphite/PEO
13.727410873732012,5.004147659233253,0.77% expandable graphite/PEO
0.2326263448631316,-0.7458956052533772,0.58% expandable graphite/PEO
1.715954651941285,-1.3336506203217704,0.58% expandable graphite/PEO
12.70574052699592,-1.7319473415026683,0.58% expandable graphite/PEO
16.285456469019184,-1.7449254584634548,0.58% expandable graphite/PEO
5,5.608314181168263,0.98% expandable graphite/PEO
8,5.434535925277907,0.98% expandable graphite/PEO
17,5.350019944715734,0.98% expandable graphite/PEO
18,5.348675345538842,0.98% expandable graphite/PEO
