Curing Temperature (°C),Compression Strength (MPa)
0,5.412020287052576,Lead(II) sulfide/Poly(butyl acrylate)
4,4.868791684921401,Lead(II) sulfide/Poly(butyl acrylate)
6,4.713548304813573,Lead(II) sulfide/Poly(butyl acrylate)
9,4.6426631164478245,Lead(II) sulfide/Poly(butyl acrylate)
15,4.577575249949108,Lead(II) sulfide/Poly(butyl acrylate)
16,4.574389250002234,Lead(II) sulfide/Poly(butyl acrylate)
0,-6.119448343253671,OMMT/Poly(butyl acrylate)
4,-5.129696733088613,OMMT/Poly(butyl acrylate)
6,-4.881170635538948,OMMT/Poly(butyl acrylate)
9,-4.511425330805444,OMMT/Poly(butyl acrylate)
15,-2.7807107536020474,OMMT/Poly(butyl acrylate)
16,-9.494355624985097,OMMT/Poly(butyl acrylate)
0,6.707354412841113,graphite nanoplates/Poly(butyl acrylate)
4,6.1026175764534605,graphite nanoplates/Poly(butyl acrylate)
6,6.001037291082707,graphite nanoplates/Poly(butyl acrylate)
9,5.888352603720736,graphite nanoplates/Poly(butyl acrylate)
15,5.826648503839591,graphite nanoplates/Poly(butyl acrylate)
16,5.822599601852003,graphite nanoplates/Poly(butyl acrylate)
0,-1.149324434601326,C.I. Pigment Black 6/Poly(butyl acrylate)
4,-1.2366415357130358,C.I. Pigment Black 6/Poly(butyl acrylate)
6,-1.504522973661139,C.I. Pigment Black 6/Poly(butyl acrylate)
9,-1.5602815363236076,C.I. Pigment Black 6/Poly(butyl acrylate)
15,-1.7549729284658047,C.I. Pigment Black 6/Poly(butyl acrylate)
16,-1.7706613306832557,C.I. Pigment Black 6/Poly(butyl acrylate)
