Electric Field (V/m),Complex Viscosity (Pa·s)
1,-0.829902523838649,SWCNT/PAM
6,0.9657677275799346,SWCNT/PAM
9,0.6546303707908332,SWCNT/PAM
10,0.3189244758400833,SWCNT/PAM
17,4.952421083143449,SWCNT/PAM
1,-3.515876670319024,cellulose nanocrystal/PAM
6,-3.68408755948019,cellulose nanocrystal/PAM
9,-3.839241544490697,cellulose nanocrystal/PAM
10,-3.874904561710374,cellulose nanocrystal/PAM
17,-4.061980546793788,cellulose nanocrystal/PAM
1,-2.853670272165637,graphene/PAM
6,-3.3663841948469875,graphene/PAM
9,-3.4629168913303374,graphene/PAM
10,-3.484532664314819,graphene/PAM
17,-3.5299272493749805,graphene/PAM
1,-3.882644310789673,Fluorine mica/PAM
6,-2.912374185199782,Fluorine mica/PAM
9,-0.7658613360820619,Fluorine mica/PAM
10,1.9561971528384596,Fluorine mica/PAM
17,12.171381118714589,Fluorine mica/PAM
