Pressure (Pa),Dielectric Breakdown Strength (MV/m)
1.6837301335945654,-4.449127341797441,0.92% Montmorillonite/Poly(butylene terephthalate)
2.9599042735725267,-3.52233972113932,0.92% Montmorillonite/Poly(butylene terephthalate)
3.59893249284968,-2.8481863848353446,0.92% Montmorillonite/Poly(butylene terephthalate)
3.6926969741407722,-2.2339071904265464,0.92% Montmorillonite/Poly(butylene terephthalate)
1.6837301335945654,4.247988686685177,0.79% Montmorillonite/Poly(butylene terephthalate)
2.9599042735725267,4.313494325384015,0.79% Montmorillonite/Poly(butylene terephthalate)
3.59893249284968,4.641758563952683,0.79% Montmorillonite/Poly(butylene terephthalate)
3.6926969741407722,4.562359483056726,0.79% Montmorillonite/Poly(butylene terephthalate)
1.6837301335945654,0.41606146065263394,0.85% Montmorillonite/Poly(butylene terephthalate)
2.9599042735725267,0.4166667908934748,0.85% Montmorillonite/Poly(butylene terephthalate)
3.59893249284968,0.25041217614618727,0.85% Montmorillonite/Poly(butylene terephthalate)
3.6926969741407722,0.403704615078355,0.85% Montmorillonite/Poly(butylene terephthalate)
