Magnetic Field Strength (T),Particle Size (nm)
0,-4.19339241660039,NVE
3,-2.710926335210363,NVE
4,-0.8936087264108634,NVE
6,0.7149054620364428,NVE
7,2.143796672761451,NVE
8,8.094555962867794,NVE
13,-56.19470122296557,NVE
0,-3.9205176542879947,PGMA
3,-2.9661408111744954,PGMA
4,-3.228410521606749,PGMA
6,-2.4222123154507975,PGMA
7,-3.8246112721998373,PGMA
8,-3.530021983098321,PGMA
13,-4.957942156175614,PGMA
0,5.059114576896389,Poly(methyl acrylate)
3,5.194153616302637,Poly(methyl acrylate)
4,4.538468369191848,Poly(methyl acrylate)
6,6.920017194094231,Poly(methyl acrylate)
7,5.7374239095298085,Poly(methyl acrylate)
8,4.427731598059691,Poly(methyl acrylate)
13,7.228536674885543,Poly(methyl acrylate)
0,0.5921802193692092,PMMA-PtBA
3,0.7972823453984081,PMMA-PtBA
4,1.1081065896422557,PMMA-PtBA
6,2.0660783529446767,PMMA-PtBA
7,1.1457822583421942,PMMA-PtBA
8,2.9431146729706477,PMMA-PtBA
13,4.140774242870301,PMMA-PtBA
