Evaporation Temperature (°C),Thermal Expansion (1/K)
3,-4.567541273183243,Poly(tetrafluoroethylene)
7,-4.780531110798416,Poly(tetrafluoroethylene)
10,-4.84565985915063,Poly(tetrafluoroethylene)
14,-4.881071813327706,Poly(tetrafluoroethylene)
16,-4.888731159572246,Poly(tetrafluoroethylene)
19,-4.8937484357233005,Poly(tetrafluoroethylene)
3,-5.119946963580582,PBTP
7,1.3953335355286622,PBTP
10,19.74618320057099,PBTP
14,150.65494129608993,PBTP
16,213.812226517162,PBTP
19,41.72042678507219,PBTP
3,3.0551119049046664,NVE
7,8.61159908168268,NVE
10,13.044826460053068,NVE
14,104.534791021242,NVE
16,74.13476970015647,NVE
19,-161.2506058387468,NVE
3,5.710345074031627,Poly(butylene terephthalate)
7,5.439130448934603,Poly(butylene terephthalate)
10,5.376388282616522,Poly(butylene terephthalate)
14,5.34325311228263,Poly(butylene terephthalate)
16,5.336035143257209,Poly(butylene terephthalate)
19,5.330711656787357,Poly(butylene terephthalate)
