Specific Surface Area (m²/g),Specific Viscosity
8,8.999752707254842,0.39% Al2O3/PTFE
9,11.207306321127156,0.39% Al2O3/PTFE
10,10.529691157870518,0.39% Al2O3/PTFE
15,12.75130183896473,0.39% Al2O3/PTFE
8,12.944292379384661,0.6% Al2O3/PTFE
9,18.020531275342442,0.6% Al2O3/PTFE
10,38.44064996890796,0.6% Al2O3/PTFE
15,42.19865169396947,0.6% Al2O3/PTFE
8,11.955739558401326,0.53% Al2O3/PTFE
9,10.091466278843349,0.53% Al2O3/PTFE
10,27.84576835873483,0.53% Al2O3/PTFE
15,12.600494598845662,0.53% Al2O3/PTFE
8,13.539312736639175,0.01% Al2O3/PTFE
9,14.894235172633765,0.01% Al2O3/PTFE
10,8.406099150688705,0.01% Al2O3/PTFE
15,118.79686106897866,0.01% Al2O3/PTFE
8,27.807034252852837,0.37% Al2O3/PTFE
9,24.950793718622336,0.37% Al2O3/PTFE
10,31.348583839659966,0.37% Al2O3/PTFE
15,111.19699654501862,0.37% Al2O3/PTFE
