Rotational Speed (rpm),Dielectric Loss
10.280782235504656,4.513958304755202,
10.556191137531357,4.5232970784578725,
10.986286693257219,4.491579792811363,
13.025502891275764,4.43574007629936,
10.280782235504656,36.23476734208805,
10.556191137531357,30.03475480922681,
10.986286693257219,23.640833115964266,
13.025502891275764,70.09948436354978,
10.280782235504656,47.72190419769406,
10.556191137531357,24.347116794508096,
10.986286693257219,48.9663483222735,
13.025502891275764,28.60719913425175,
10.280782235504656,6.831264520593475,
10.556191137531357,5.465479587229859,
10.986286693257219,3.6107515784370463,
13.025502891275764,7.987989155133872,
10.280782235504656,27.482545773539034,
10.556191137531357,12.432285099211025,
10.986286693257219,26.66517859071839,
13.025502891275764,32.62191274009058,
