Time (s),Decomposition Temperature (°C)
2,5.866208370837408,0.2% Poly(vinyl alcohol)/PA 6(3)T
5,6.985072111691874,0.2% Poly(vinyl alcohol)/PA 6(3)T
11,23.73975655202566,0.2% Poly(vinyl alcohol)/PA 6(3)T
14,-32.94190165729041,0.2% Poly(vinyl alcohol)/PA 6(3)T
18,-90.86450637344957,0.2% Poly(vinyl alcohol)/PA 6(3)T
1.8043125836919294,5.003289533794668,0.22% Poly(vinyl alcohol)/PA 6(3)T
4.398633887806818,5.308804690573211,0.22% Poly(vinyl alcohol)/PA 6(3)T
4.487638716835177,8.67911365881383,0.22% Poly(vinyl alcohol)/PA 6(3)T
11.03410965505794,27.932410847152838,0.22% Poly(vinyl alcohol)/PA 6(3)T
19.20209303067376,744.6309958684578,0.22% Poly(vinyl alcohol)/PA 6(3)T
