Particle Density,Thermal Stability (°C)
4.848911827575677,-3.3648653564095587,Colloidal silica/Poly(methyl methacrylate)
9.498399128592068,-2.0745820616967965,Colloidal silica/Poly(methyl methacrylate)
10.211409622507714,-1.00501655640974,Colloidal silica/Poly(methyl methacrylate)
19.05902467738821,-2.5992424635441247,Colloidal silica/Poly(methyl methacrylate)
0,-4.514787493257029,Cloisite/Poly(methyl methacrylate)
1,-4.909323450676974,Cloisite/Poly(methyl methacrylate)
4,-5.210111145606575,Cloisite/Poly(methyl methacrylate)
5,-5.273000858174149,Cloisite/Poly(methyl methacrylate)
1.7145335033246623,4.078816466278079,Fluorine mica/Poly(methyl methacrylate)
5.081390330138886,3.8374262160963655,Fluorine mica/Poly(methyl methacrylate)
13.613691506453021,3.6154510176543413,Fluorine mica/Poly(methyl methacrylate)
19.454683368940604,3.6018355462415688,Fluorine mica/Poly(methyl methacrylate)
