Elongation At Break (%),Pore Volume (cm³/g)
1.647725926114545,4.573379342989027,
6.672584066390663,4.248592822429173,
6.906973817218425,4.291031229914568,
16.139219081140936,3.8871366817097126,
2.9902753040648977,-0.3403738940967964,
3.8318235233588127,-0.4239081266300594,
5.527292226974289,-0.6489432123834495,
15.493192162365547,-0.7945734645816637,
0,3.0503864565151346,
3,2.622405587989504,
10,2.1861784020808313,
12,2.1650944984317406,
2,5.17832137991847,
11,7.7812947558532635,
15,5.660738754463933,
16,14.894196776631132,
