Tensile Strength (MPa),Tg (°C)
0,6.278138568591755,exfoliated graphite/DGEBF
1,6.091797194856872,exfoliated graphite/DGEBF
2,5.84255152012782,exfoliated graphite/DGEBF
15,5.378974537685169,exfoliated graphite/DGEBF
19,5.370352146867087,exfoliated graphite/DGEBF
5,3.813500295654264,Calcium copper titanate/DGEBF
9,10.529105320617504,Calcium copper titanate/DGEBF
12,47.77188673142891,Calcium copper titanate/DGEBF
13,7.726087452832733,Calcium copper titanate/DGEBF
16,147.15403044573964,Calcium copper titanate/DGEBF
7.568047198136414,1.5963601196778217,C60/DGEBF
8.442382541340718,1.567945475264158,C60/DGEBF
9.920177014228006,1.5356631419106117,C60/DGEBF
16.827777657832,1.4908733385344823,C60/DGEBF
18.32445623228769,1.4883150358939066,C60/DGEBF
3.855083194820721,5.766564119500472,Aluminium oxide/DGEBF
4.547132738423796,5.717274048641908,Aluminium oxide/DGEBF
10.96824159073349,5.514653608924564,Aluminium oxide/DGEBF
15.467304214486697,5.484011495901387,Aluminium oxide/DGEBF
19.889442585000687,5.477035810039045,Aluminium oxide/DGEBF
