Synthesis Temperature (°C),Crystallinity (%)
1,5.655983428582204,0.3% MWCNTs
12,10.021604483938422,0.3% MWCNTs
13,43.15960560692098,0.3% MWCNTs
1,8.687312720504002,0.31% MWCNTs
12,11.106449665042899,0.31% MWCNTs
13,12.58970053552055,0.31% MWCNTs
1,-6.458552038932183,0.84% MWCNTs
12,54.09031766755511,0.84% MWCNTs
13,41.8178782752592,0.84% MWCNTs
1,-3.683445600023981,0.4% MWCNTs
12,-4.389628786720287,0.4% MWCNTs
13,-4.3984025261293445,0.4% MWCNTs
1,6.925699222614044,0.58% MWCNTs
12,6.363629579242818,0.58% MWCNTs
13,6.357118918414527,0.58% MWCNTs
