Softening Temperature (°C),Permittivity
8.14222670218048,-6.191677036624442,high abrasion furnace black/Poly(2-hydroxyethyl methacrylate)
9.457201333446086,-6.136693479782716,high abrasion furnace black/Poly(2-hydroxyethyl methacrylate)
15.883734500661703,-6.382962405120903,high abrasion furnace black/Poly(2-hydroxyethyl methacrylate)
17.101999437279034,-6.400373882240942,high abrasion furnace black/Poly(2-hydroxyethyl methacrylate)
18.91097644929063,-6.431580826087575,high abrasion furnace black/Poly(2-hydroxyethyl methacrylate)
8.14222670218048,-2.2047575835867668,Molybdenum disulfide/Poly(2-hydroxyethyl methacrylate)
9.457201333446086,-1.7394575286569398,Molybdenum disulfide/Poly(2-hydroxyethyl methacrylate)
15.883734500661703,-1.186529780127454,Molybdenum disulfide/Poly(2-hydroxyethyl methacrylate)
17.101999437279034,0.7507830551695074,Molybdenum disulfide/Poly(2-hydroxyethyl methacrylate)
18.91097644929063,12.487548302329884,Molybdenum disulfide/Poly(2-hydroxyethyl methacrylate)
