Reaction Temperature (°C),Conductivity (S/m)
1.4020650574331506,6.986236314062226,
3.8852439014025753,10.285820329874573,
4.897548501676305,8.433773201092812,
7.555672897054595,16.34893765670819,
17.87231916615174,-279.2447956792672,
1.4020650574331506,-0.7902189957622296,
3.8852439014025753,-1.1292820619451822,
4.897548501676305,-1.362192488117028,
7.555672897054595,-1.4711714128448692,
17.87231916615174,-1.7657468642537892,
1.4020650574331506,-4.564971209189649,
3.8852439014025753,-4.633099471414048,
4.897548501676305,-4.853554727806948,
7.555672897054595,-5.069492424634155,
17.87231916615174,-5.326682793322441,
1.4020650574331506,3.7693791730996926,
3.8852439014025753,3.454913454592728,
4.897548501676305,3.3289933060677286,
7.555672897054595,3.184375335908497,
17.87231916615174,3.0874891653649805,
1.4020650574331506,-0.28174632641852004,
3.8852439014025753,-0.8030300242502788,
4.897548501676305,-0.8295333465618089,
7.555672897054595,-0.926395429863068,
17.87231916615174,-1.0272213807619415,
