Thermal Conductivity (W/(m·K)),Fracture Toughness (MPa·m^0.5)
9.778305063858962,10.149420499915081,
15.414434870505438,209.28107898638177,
17.93362568007656,-40.4768786559412,
19.67751397268071,-486.32197382007007,
9.778305063858962,-5.929138561649159,
15.414434870505438,-6.054678269931321,
17.93362568007656,-6.106366533456217,
19.67751397268071,-6.1211476435099,
9.778305063858962,2.57952140852781,
15.414434870505438,2.5389891977057437,
17.93362568007656,2.534867391512009,
19.67751397268071,2.533057467672486,
9.778305063858962,-2.017168516216021,
15.414434870505438,-2.1770097061788665,
17.93362568007656,-2.213533665202854,
19.67751397268071,-2.246008176823292,
9.778305063858962,-6.2591613164408635,
15.414434870505438,-6.408286600457702,
17.93362568007656,-6.455553241785319,
19.67751397268071,-6.48799660249401,
