Degradation Temperature (°C),Ionic Conductivity (S/m)
9.649528298861473,-2.160148595297899,Polyrotaxane
10.605427884957024,-2.210083808797327,Polyrotaxane
10.612046617468138,-2.2249023437597835,Polyrotaxane
14.18086770499848,-2.3343043168707247,Polyrotaxane
15.241676034549824,-2.3390207055011154,Polyrotaxane
18.687477084879248,-2.411967898702701,Polyrotaxane
9.649528298861473,-6.761361038600319,P(Baph)
10.605427884957024,-6.772653109347766,P(Baph)
10.612046617468138,-6.767238851474227,P(Baph)
14.18086770499848,-6.796118211930857,P(Baph)
15.241676034549824,-6.800525147127883,P(Baph)
18.687477084879248,-6.80693062272459,P(Baph)
9.649528298861473,18.292959231581136,BPA-Ph
10.605427884957024,37.31463879447558,BPA-Ph
10.612046617468138,15.15763757691558,BPA-Ph
14.18086770499848,68.8594346188135,BPA-Ph
15.241676034549824,110.18472196801594,BPA-Ph
18.687477084879248,516.6929410169773,BPA-Ph
