Nanoparticle Volume (%),Magnetoresistance
1,5.252395678710418,expanded graphite/Poly(bisphenol A carbonate)
4,5.06744026919484,expanded graphite/Poly(bisphenol A carbonate)
9,4.800922840085371,expanded graphite/Poly(bisphenol A carbonate)
10,4.799618778897881,expanded graphite/Poly(bisphenol A carbonate)
12,4.777708602243401,expanded graphite/Poly(bisphenol A carbonate)
1,-1.4371071095540513,Carbon black/Poly(bisphenol A carbonate)
4,-1.7841271262967409,Carbon black/Poly(bisphenol A carbonate)
9,-2.0321440920828295,Carbon black/Poly(bisphenol A carbonate)
10,-2.054929640633958,Carbon black/Poly(bisphenol A carbonate)
12,-2.082558801656557,Carbon black/Poly(bisphenol A carbonate)
1,7.916770966665352,Graphite oxide/Poly(bisphenol A carbonate)
4,9.629590637203023,Graphite oxide/Poly(bisphenol A carbonate)
9,23.01879814235158,Graphite oxide/Poly(bisphenol A carbonate)
10,19.247115408709252,Graphite oxide/Poly(bisphenol A carbonate)
12,37.59345113442569,Graphite oxide/Poly(bisphenol A carbonate)
