Mechanical Strength (MPa),Dielectric Breakdown Strength (MV/m)
8,7.159956691022808,Molybdenum disulfide/Sodium polyacrylate
9,7.113181940075828,Molybdenum disulfide/Sodium polyacrylate
10,7.1040252794602265,Molybdenum disulfide/Sodium polyacrylate
8,-1.489258562669936,Sodium titanate nanotubes/Sodium polyacrylate
9,-1.5588291149467026,Sodium titanate nanotubes/Sodium polyacrylate
10,-1.572638984328382,Sodium titanate nanotubes/Sodium polyacrylate
8,9.480024879875208,Au/Sodium polyacrylate
9,10.318354284093635,Au/Sodium polyacrylate
10,8.230350627464492,Au/Sodium polyacrylate
8,0.07120867355817798,graphene nanoribbon/Sodium polyacrylate
9,0.04655124696456539,graphene nanoribbon/Sodium polyacrylate
10,0.027816410734673655,graphene nanoribbon/Sodium polyacrylate
8,1.6395223182907293,Bentonite/Sodium polyacrylate
9,1.626377266676073,Bentonite/Sodium polyacrylate
10,1.6070985607272978,Bentonite/Sodium polyacrylate
