Heat Treatment Temperature (°C),Magnetoresistance
10.97533839351861,5.3732662970106855,0.11% silica nanoparticles
17.620462277290926,5.339913161537797,0.11% silica nanoparticles
18.638026127024723,5.338954070051021,0.11% silica nanoparticles
10.97533839351861,-2.7490417223979153,0.66% silica nanoparticles
17.620462277290926,-2.779782009377637,0.66% silica nanoparticles
18.638026127024723,-2.7809330046355165,0.66% silica nanoparticles
10.97533839351861,6.758887398817352,0.61% silica nanoparticles
17.620462277290926,6.727577343006783,0.61% silica nanoparticles
18.638026127024723,6.7266858710227035,0.61% silica nanoparticles
10.97533839351861,-0.4746219457118286,0.94% silica nanoparticles
17.620462277290926,-0.6111111596420111,0.94% silica nanoparticles
18.638026127024723,-0.6297380128754059,0.94% silica nanoparticles
10.97533839351861,20.152365111672044,0.82% silica nanoparticles
17.620462277290926,190.63458779831834,0.82% silica nanoparticles
18.638026127024723,-53.57895851824597,0.82% silica nanoparticles
