Calcination Time (h),Decomposition Temperature (°C)
4.398509549378879,9.776673767847235,Aluminium oxide/PBAT
14.417417146386038,142.2395239710273,Aluminium oxide/PBAT
15.308067406435644,143.2929826983887,Aluminium oxide/PBAT
16.013169861414546,227.12053872265275,Aluminium oxide/PBAT
4.398509549378879,-1.1000829824913296,Buckminsterfullerene/PBAT
14.417417146386038,4.127011327334197,Buckminsterfullerene/PBAT
15.308067406435644,1.823376988456534,Buckminsterfullerene/PBAT
16.013169861414546,-0.9469613529615852,Buckminsterfullerene/PBAT
4.398509549378879,-4.393301695729427,Alumina/PBAT
14.417417146386038,-4.904615180558127,Alumina/PBAT
15.308067406435644,-4.917653228928152,Alumina/PBAT
16.013169861414546,-4.95543903940584,Alumina/PBAT
4.398509549378879,7.961390046710625,cellulose nanocrystals/PBAT
14.417417146386038,30.97526039829365,cellulose nanocrystals/PBAT
15.308067406435644,51.21926214203131,cellulose nanocrystals/PBAT
16.013169861414546,-60.36405418977161,cellulose nanocrystals/PBAT
4.398509549378879,-7.278791213323487,C.I. Pigment Black 6/PBAT
14.417417146386038,-7.519655095222196,C.I. Pigment Black 6/PBAT
15.308067406435644,-7.523352279150837,C.I. Pigment Black 6/PBAT
16.013169861414546,-7.525615022449702,C.I. Pigment Black 6/PBAT
