Aspect Ratio,Charge Transfer Resistance (Ω·m²)
0,-5.3694877811575275,0.84% fumed silica/PVC-P
2,-4.541550948609631,0.84% fumed silica/PVC-P
5,-1.1367971263553116,0.84% fumed silica/PVC-P
13,60.79065657318533,0.84% fumed silica/PVC-P
15,115.24798518817207,0.84% fumed silica/PVC-P
0,-0.3215434921845505,0.51% fumed silica/PVC-P
2,-0.12398069659402022,0.51% fumed silica/PVC-P
5,-0.6739197058354361,0.51% fumed silica/PVC-P
13,-0.9166310833290557,0.51% fumed silica/PVC-P
15,-0.9493492673138854,0.51% fumed silica/PVC-P
