X-ray Dose (Gy),Tan Delta
0,3.9911489628241736,PA 8
2,4.731644774406689,PA 8
3,5.02193920833081,PA 8
5,4.905866071547598,PA 8
9,5.408623216505479,PA 8
10,6.538017357152675,PA 8
15,1.3495602405522593,PA 8
0,5.867921511316505,DGEBD Epoxy Resin
2,6.092618117623887,DGEBD Epoxy Resin
3,5.900410918169208,DGEBD Epoxy Resin
5,5.823065029068438,DGEBD Epoxy Resin
9,5.689231811803602,DGEBD Epoxy Resin
10,5.587716826090308,DGEBD Epoxy Resin
15,5.438911044148361,DGEBD Epoxy Resin
0,-0.7505013686360185,PEA
2,-1.080957605517257,PEA
3,-1.1494607615064556,PEA
5,-1.2985915269126158,PEA
9,-1.3817978697981474,PEA
10,-1.3864343214016006,PEA
15,-1.5628983107786736,PEA
0,4.89045876474925,PAMS
2,4.2143175476201655,PAMS
3,4.167558280474663,PAMS
5,3.913979718853271,PAMS
9,3.7592568683811867,PAMS
10,3.7328146444844066,PAMS
15,3.6991483363537725,PAMS
0,-4.11033134378425,bisphenol-A phthalonitrile resin
2,-4.113094670205806,bisphenol-A phthalonitrile resin
3,-4.334927513930429,bisphenol-A phthalonitrile resin
5,-4.4970200534960565,bisphenol-A phthalonitrile resin
9,-4.681246563384614,bisphenol-A phthalonitrile resin
10,-4.691380840025395,bisphenol-A phthalonitrile resin
15,-4.865530420094594,bisphenol-A phthalonitrile resin
