Particle Density,Specific Viscosity
3.1878356399996477,10.082122204883802,UPR
3.579183817492557,9.106891076054737,UPR
8.041458961378558,12.186134635132499,UPR
9.051271235225213,9.532425797184363,UPR
14.383865392099286,9.830274264056637,UPR
14.488153259721454,14.270916893826673,UPR
3.1878356399996477,-5.85908517341009,PLA
3.579183817492557,-3.835061464276868,PLA
8.041458961378558,-2.5958376289630953,PLA
9.051271235225213,11.189205183853948,PLA
14.383865392099286,70.92506105451852,PLA
14.488153259721454,2.3964238994872087,PLA
3.1878356399996477,-1.6482483547445987,PC
3.579183817492557,-1.7751550063733925,PC
8.041458961378558,-2.0183347554203084,PC
9.051271235225213,-2.034220698850502,PC
14.383865392099286,-2.0928851258741425,PC
14.488153259721454,-2.0937320428377344,PC
