Mixing Time (min),Loss Factor
0.09190379871263143,1.1384804006729694,0.32% MWNTs
0.3973293510534104,1.3043606624463377,0.32% MWNTs
6.081814571273394,6.104701101958474,0.32% MWNTs
6.745801382283149,10.98703511032166,0.32% MWNTs
0.09190379871263143,4.858795057547415,0.8% MWNTs
0.3973293510534104,4.928829835686829,0.8% MWNTs
6.081814571273394,4.543445379491093,0.8% MWNTs
6.745801382283149,5.619463136738316,0.8% MWNTs
0.09190379871263143,3.5159778596776867,0.34% MWNTs
0.3973293510534104,3.8877204765827647,0.34% MWNTs
6.081814571273394,5.247800366361393,0.34% MWNTs
6.745801382283149,3.976034050947814,0.34% MWNTs
