Crystallization Temperature (°C),Magnetoresistance
3.788273744903745,-3.8596409824154163,Carbon nanofibers/Nylon 6T
9.988404884551635,-4.150713701805137,Carbon nanofibers/Nylon 6T
16.156797998663937,-4.315862702779677,Carbon nanofibers/Nylon 6T
17.970280801160673,-4.359425224117875,Carbon nanofibers/Nylon 6T
3.788273744903745,-5.508424525386622,Carbon Black/Nylon 6T
9.988404884551635,-5.949728891042813,Carbon Black/Nylon 6T
16.156797998663937,-6.146152552131645,Carbon Black/Nylon 6T
17.970280801160673,-6.17702926232166,Carbon Black/Nylon 6T
3.788273744903745,1.387166831947312,"Iron (II,III) Oxide/Nylon 6T"
9.988404884551635,1.130481728867752,"Iron (II,III) Oxide/Nylon 6T"
16.156797998663937,1.0834610099559092,"Iron (II,III) Oxide/Nylon 6T"
17.970280801160673,1.0800458745301162,"Iron (II,III) Oxide/Nylon 6T"
3.788273744903745,0.5635185292202189,Sodium titanate nanotubes/Nylon 6T
9.988404884551635,0.2553858968103257,Sodium titanate nanotubes/Nylon 6T
16.156797998663937,0.21334039188131104,Sodium titanate nanotubes/Nylon 6T
17.970280801160673,0.209973762452963,Sodium titanate nanotubes/Nylon 6T
3.788273744903745,-5.491743637945479,Calcium carbonate/Nylon 6T
9.988404884551635,-5.671936096190299,Calcium carbonate/Nylon 6T
16.156797998663937,-5.853008366837124,Calcium carbonate/Nylon 6T
17.970280801160673,-5.865636731633077,Calcium carbonate/Nylon 6T
