wt% (%),Elongation At Break (%)
2,-6.113480413214048,EPDM rubber
3,-6.01186588815741,EPDM rubber
12,-6.474372844413087,EPDM rubber
14,-6.517705771198756,EPDM rubber
17,-6.572670542587111,EPDM rubber
2,7.614206791781815,Poly(ethylene glycol)
3,7.525581058113238,Poly(ethylene glycol)
12,7.114552268509734,Poly(ethylene glycol)
14,7.101460249782673,Poly(ethylene glycol)
17,7.0919329670870175,Poly(ethylene glycol)
2,2.3730193437180174,PEEK
3,2.2857417865228316,PEEK
12,1.8475382934531717,PEEK
14,1.83573654027575,PEEK
17,1.826792233256022,PEEK
2,4.135481163029217,PαMS
3,5.440134435223797,PαMS
12,0.44228784638059615,PαMS
14,46.70635141148959,PαMS
17,305.70184904178547,PαMS
