Dielectric Loss,Electrical Resistivity (Ω·m)
2.974200766078068,-3.273364890434633,PA 6(3)T
3.4413836321538893,-3.263679881720508,PA 6(3)T
6.286418081217997,-3.365340867728478,PA 6(3)T
13.906003252973434,-3.4983169946489663,PA 6(3)T
14.693959462860835,-3.5046562895900095,PA 6(3)T
5.099687879644701,3.8339366302474347,Polyamide-imide
7.05867364632198,3.759825960834024,Polyamide-imide
11.847293215440388,3.674576998980705,Polyamide-imide
12.22625683611832,3.6725936292477424,Polyamide-imide
15.730797272455199,3.6537437676396896,Polyamide-imide
8,-5.686502756326477,Poly(tetrafluoroethylene)
10,-5.735274319716208,Poly(tetrafluoroethylene)
14,-5.768826050307322,Poly(tetrafluoroethylene)
15,-5.774670133275363,Poly(tetrafluoroethylene)
16,-5.77764320391752,Poly(tetrafluoroethylene)
5.866092827421738,-5.29337771502537,P4VP
8.65874281809466,-2.3361883196009083,P4VP
12.828645201611108,-3.1373382237730363,P4VP
19.019959032290455,4.294224402134635,P4VP
19.751494687323405,1.787013345827722,P4VP
0.4258708150450574,-2.612512620960324,Poly(vinyl acetate)
3.007664709112312,-2.9011150830019794,Poly(vinyl acetate)
7.992932863806093,-3.2344506810211286,Poly(vinyl acetate)
14.099588281616484,-3.4602070906108864,Poly(vinyl acetate)
14.794204033918861,-3.477374692511867,Poly(vinyl acetate)
