Time (s),Viscosity (Pa·s)
2,-5.331043121730197,Poly(ether ether ketone)
7,-5.734972598474864,Poly(ether ether ketone)
10,-5.8049109890374675,Poly(ether ether ketone)
15,-5.838451939531574,Poly(ether ether ketone)
18,-5.84521158098382,Poly(ether ether ketone)
2,6.107328401426274,PEEK
7,13.779726605721667,PEEK
10,18.35714730257972,PEEK
15,38.955947745785814,PEEK
18,554.8691537106052,PEEK
2,-5.888190359555785,PVAC
7,-6.376590699448485,PVAC
10,-6.56489183057941,PVAC
15,-6.677302698306241,PVAC
18,-6.733642881445473,PVAC
