Reaction Time (h),Reduction Potential (V)
3,5.432162206095805,Mineral oil/Poly(acrylamide)
4,5.152833949399869,Mineral oil/Poly(acrylamide)
10,22.908884139477657,Mineral oil/Poly(acrylamide)
19,-300.38992894046487,Mineral oil/Poly(acrylamide)
3,-5.728273820788673,single-walled CNTs/Poly(acrylamide)
4,-6.108589689875925,single-walled CNTs/Poly(acrylamide)
10,-6.470702302076647,single-walled CNTs/Poly(acrylamide)
19,1.954230376217584,single-walled CNTs/Poly(acrylamide)
3,5.6905780523317695,CCTO ceramics/Poly(acrylamide)
4,5.200342026287504,CCTO ceramics/Poly(acrylamide)
10,4.921568283776596,CCTO ceramics/Poly(acrylamide)
19,4.735261568663826,CCTO ceramics/Poly(acrylamide)
3,-6.910200949129464,"Iron(II,III) oxide/Poly(acrylamide)"
4,-7.331477653933214,"Iron(II,III) oxide/Poly(acrylamide)"
10,-7.374063850246658,"Iron(II,III) oxide/Poly(acrylamide)"
19,-7.643637205394845,"Iron(II,III) oxide/Poly(acrylamide)"
