pH,Bet Surface Area
3.642825084113195,-4.474417769358672,PRX
6.273784093917374,-4.788104274240033,PRX
6.730573098214019,-3.536976786308474,PRX
9.89282315358884,-0.6519189107425252,PRX
14.724976981563856,-4.659187231245871,PRX
3.642825084113195,-5.85141254125184,PS
6.273784093917374,-5.081994040972243,PS
6.730573098214019,-4.9514891543374535,PS
9.89282315358884,-5.310477858101184,PS
14.724976981563856,4.941800903478166,PS
3.642825084113195,-1.9610557744478867,PDMS
6.273784093917374,-2.101524569100129,PDMS
6.730573098214019,-2.13213513285723,PDMS
9.89282315358884,-2.2162734050100257,PDMS
14.724976981563856,-2.2630904915486934,PDMS
3.642825084113195,-0.2672656820585434,Polyurethane
6.273784093917374,-0.5234427908413604,Polyurethane
6.730573098214019,-0.4333672426705072,Polyurethane
9.89282315358884,-0.5434785551739332,Polyurethane
14.724976981563856,-0.7154187543185636,Polyurethane
