Electron Beam Dose (Gy),Polarization Resistance (Ω·m²)
1.9858324145658757,-5.507913319212522,0.68% MgO/PGMA
3.311731937597311,-5.54782130652834,0.68% MgO/PGMA
3.7378124554654746,-5.6060272307450125,0.68% MgO/PGMA
7.481584440862381,-5.859166317596181,0.68% MgO/PGMA
16.983652997957112,-6.128003523369951,0.68% MgO/PGMA
1.9858324145658757,0.9923707257329015,0.8% MgO/PGMA
3.311731937597311,0.6895772125041266,0.8% MgO/PGMA
3.7378124554654746,0.7252979594108353,0.8% MgO/PGMA
7.481584440862381,0.4561224072194027,0.8% MgO/PGMA
16.983652997957112,0.3550396537787351,0.8% MgO/PGMA
1.9858324145658757,6.445686231386291,0.58% MgO/PGMA
3.311731937597311,6.512940296354803,0.58% MgO/PGMA
3.7378124554654746,6.9373519439421,0.58% MgO/PGMA
7.481584440862381,7.95086150784806,0.58% MgO/PGMA
16.983652997957112,2.6135362247410736,0.58% MgO/PGMA
