Time (s),Pore Size (nm)
3.925075344165345,9.71915330898075,0.96% AuNPs/Poly(butyl acrylate)
11.30219090285264,32.46440293779729,0.96% AuNPs/Poly(butyl acrylate)
12.399457693224878,70.39505244952574,0.96% AuNPs/Poly(butyl acrylate)
3.925075344165345,12.036919800222273,0.53% AuNPs/Poly(butyl acrylate)
11.30219090285264,24.46451061457232,0.53% AuNPs/Poly(butyl acrylate)
12.399457693224878,47.51145402544922,0.53% AuNPs/Poly(butyl acrylate)
3.925075344165345,0.1825274699310101,0.89% AuNPs/Poly(butyl acrylate)
11.30219090285264,-0.22353466657736115,0.89% AuNPs/Poly(butyl acrylate)
12.399457693224878,-0.2837515097280104,0.89% AuNPs/Poly(butyl acrylate)
3.925075344165345,9.515415429164271,0.19% AuNPs/Poly(butyl acrylate)
11.30219090285264,54.191582346253384,0.19% AuNPs/Poly(butyl acrylate)
12.399457693224878,9.145306222273708,0.19% AuNPs/Poly(butyl acrylate)
