Synthesis Temperature (°C),Thermal Resistance (K/W)
5.646617129478244,11.705970301116407,graphene nanoplatelets/aPP
6.130603531320458,10.59658821535497,graphene nanoplatelets/aPP
10.382258579918247,15.512627147435412,graphene nanoplatelets/aPP
19.61408633808813,-498.86358179376384,graphene nanoplatelets/aPP
5.646617129478244,-1.9932831622676361,expanded graphite/aPP
6.130603531320458,-1.793040810140098,expanded graphite/aPP
10.382258579918247,-2.1410293563617957,expanded graphite/aPP
19.61408633808813,-2.351149070582896,expanded graphite/aPP
5.646617129478244,-0.11153837769251451,Channel black/aPP
6.130603531320458,2.415490050707519,Channel black/aPP
10.382258579918247,-11.051929799777886,Channel black/aPP
19.61408633808813,150.5805220955511,Channel black/aPP
