Loading Concentration (%),Tg (°C)
4.297718356860694,7.929357546321337,exfoliated graphite/CAB
13.057181178845404,54.20848860880806,exfoliated graphite/CAB
15.44049533789266,60.0619798429417,exfoliated graphite/CAB
17.071183348251704,40.614901879928865,exfoliated graphite/CAB
4.297718356860694,1.1349531705185627,Single-wall carbon nanotubes/CAB
13.057181178845404,0.6424743554673842,Single-wall carbon nanotubes/CAB
15.44049533789266,0.6107361873637354,Single-wall carbon nanotubes/CAB
17.071183348251704,0.5772988413297353,Single-wall carbon nanotubes/CAB
4.297718356860694,0.29625478737763544,9-Anthracenemethanol/CAB
13.057181178845404,0.026265908890644625,9-Anthracenemethanol/CAB
15.44049533789266,0.015782534229792415,9-Anthracenemethanol/CAB
17.071183348251704,0.012130885443476696,9-Anthracenemethanol/CAB
4.297718356860694,-4.7756346886015475,Graphite oxide/CAB
13.057181178845404,-5.0011337214338765,Graphite oxide/CAB
15.44049533789266,-5.012092077465448,Graphite oxide/CAB
17.071183348251704,-5.0161149071118,Graphite oxide/CAB
