Volume Fraction,Electrochemical Potential (V)
8.832254394309393,-7.378401534916784,PA 6(3)T
9.88806382045244,-7.406429486341992,PA 6(3)T
9.977594935638267,-7.355678334028809,PA 6(3)T
10.958294390533908,-7.483951237909075,PA 6(3)T
16.237348821745115,-7.575792787997649,PA 6(3)T
8.832254394309393,7.126464834061993,Poly(2-vinyl pyridine)
9.88806382045244,6.977438238937952,Poly(2-vinyl pyridine)
9.977594935638267,9.174067052542128,Poly(2-vinyl pyridine)
10.958294390533908,7.27323309966981,Poly(2-vinyl pyridine)
16.237348821745115,13.192421326754564,Poly(2-vinyl pyridine)
8.832254394309393,8.339314908099979,Polybutylene succinate
9.88806382045244,8.333378549855778,Polybutylene succinate
9.977594935638267,8.96558256053345,Polybutylene succinate
10.958294390533908,11.998234958915269,Polybutylene succinate
16.237348821745115,5.484372303356545,Polybutylene succinate
8.832254394309393,-4.61439301702694,TGPAP
9.88806382045244,-0.7535411531503362,TGPAP
9.977594935638267,-2.7495978378186106,TGPAP
10.958294390533908,-1.2445221870118406,TGPAP
16.237348821745115,0.4861647811211185,TGPAP
8.832254394309393,-7.132918593583142,Poly(ethylene terephthalate)
9.88806382045244,-7.178458546222379,Poly(ethylene terephthalate)
9.977594935638267,-7.205207734146851,Poly(ethylene terephthalate)
10.958294390533908,-7.252115602717501,Poly(ethylene terephthalate)
16.237348821745115,-7.370674601043466,Poly(ethylene terephthalate)
