Mechanical Strength (MPa),Specific Heat (J/(g·K))
4,-1.245932423568444,0.19% Magnesium oxide
8,-1.4777728711540838,0.19% Magnesium oxide
18,-1.7221970888342717,0.19% Magnesium oxide
12.747801561192203,23.934461773806433,0.87% Magnesium oxide
15.189602054366363,117.57354406734865,0.87% Magnesium oxide
15.500650737770975,279.92867729283284,0.87% Magnesium oxide
3,2.0765320286141082,0.83% Magnesium oxide
4,1.8440385074786723,0.83% Magnesium oxide
6,5.8311246500910014,0.83% Magnesium oxide
9.046911111367109,1.3788794942091225,0.62% Magnesium oxide
9.674519252833392,1.3469377320637164,0.62% Magnesium oxide
19.814422477236473,1.0902216273048018,0.62% Magnesium oxide
7,-1.528112599899375,0.77% Magnesium oxide
12,0.6676908962142747,0.77% Magnesium oxide
17,-0.8646161535571286,0.77% Magnesium oxide
