Light Intensity (W/m²),Charge Transfer Resistance (Ω·m²)
0,3.9378643161076945,talc/PVAc
3,4.041026882825485,talc/PVAc
6,5.673218935329105,talc/PVAc
8,5.029815453740325,talc/PVAc
18,8.031240977490459,talc/PVAc
0,7.445823561348272,Titanate nanotubes/PVAc
3,9.590003509127905,Titanate nanotubes/PVAc
6,12.459500211694952,Titanate nanotubes/PVAc
8,26.53805248421025,Titanate nanotubes/PVAc
18,135.69549051073085,Titanate nanotubes/PVAc
0,0.8996500168928282,multi-walled CNT/PVAc
3,0.6829587570428748,multi-walled CNT/PVAc
6,0.47933453901844647,multi-walled CNT/PVAc
8,0.38094080293967414,multi-walled CNT/PVAc
18,0.10002993961365958,multi-walled CNT/PVAc
